step,jepa_coverage,random_coverage
0,0.339,0.339
1,0.678,0.678
2,1.017,0.678
3,1.017,0.678
4,1.356,0.678
5,1.695,0.678
6,1.695,1.017
7,2.034,1.356
8,2.373,1.356
9,2.712,1.356
10,3.051,1.695
11,3.39,2.034
12,3.39,2.034
13,3.729,2.373
14,4.068,2.373
15,4.407,2.373
16,4.407,2.712
17,4.407,2.712
18,4.746,2.712
19,5.085,3.051
20,5.424,3.051
21,5.763,3.051
22,6.102,3.051
23,6.102,3.39
24,6.441,3.39
25,6.441,3.729
26,6.78,4.068
27,7.119,4.068
28,7.458,4.407
29,7.797,4.407
30,8.136,4.407
31,8.475,4.746
32,8.475,4.746
33,8.475,5.085
34,8.475,5.424
35,8.475,5.424
36,8.475,5.424
37,8.814,5.763
38,8.814,5.763
39,9.153,5.763
40,9.153,5.763
41,9.153,5.763
42,9.153,5.763
43,9.153,5.763
44,9.153,5.763
45,9.153,5.763
46,9.153,5.763
47,9.153,5.763
48,9.153,6.102
49,9.153,6.441
50,9.492,6.78
51,9.492,6.78
52,9.492,7.119
53,9.831,7.458
54,9.831,7.458
55,9.831,7.458
56,9.831,7.458
57,10.169,7.458
58,10.169,7.458
59,10.169,7.458
60,10.169,7.458
61,10.169,7.458
62,10.169,7.458
63,10.169,7.458
64,10.169,7.458
65,10.169,7.458
66,10.169,7.458
67,10.169,7.458
68,10.169,7.458
69,10.169,7.458
70,10.169,7.458
71,10.169,7.458
72,10.169,7.458
73,10.169,7.458
74,10.169,7.458
75,10.169,7.458
76,10.508,7.458
77,10.847,7.458
78,11.186,7.458
79,11.186,7.458
80,11.186,7.458
81,11.186,7.458
82,11.525,7.458
83,11.864,7.458
84,12.203,7.458
85,12.542,7.458
86,12.542,7.458
87,12.881,7.458
88,13.22,7.458
89,13.559,7.458
90,13.898,7.458
91,13.898,7.458
92,13.898,7.458
93,14.237,7.458
94,14.237,7.458
95,14.576,7.458
96,14.915,7.458
97,15.254,7.458
98,15.254,7.797
99,15.593,8.136
100,15.932,8.136
101,16.271,8.136
102,16.61,8.136
103,16.949,8.136
104,16.949,8.136
105,16.949,8.136
106,16.949,8.136
107,17.288,8.136
108,17.288,8.136
109,17.288,8.475
110,17.627,8.814
111,17.627,8.814
112,17.966,8.814
113,18.305,8.814
114,18.305,8.814
115,18.644,8.814
116,18.644,8.814
117,18.644,8.814
118,18.644,8.814
119,18.644,8.814
120,18.644,8.814
121,18.983,8.814
122,18.983,8.814
123,18.983,8.814
124,19.322,8.814
125,19.322,9.153
126,19.322,9.492
127,19.322,9.492
128,19.322,9.492
129,19.322,9.492
130,19.322,9.492
131,19.322,9.492
132,19.322,9.492
133,19.322,9.492
134,19.322,9.492
135,19.322,9.492
136,19.661,9.492
137,19.661,9.492
138,19.661,9.492
139,19.661,9.492
140,19.661,9.492
141,19.661,9.492
142,19.661,9.492
143,19.661,9.492
144,19.661,9.492
145,19.661,9.492
146,19.661,9.492
147,19.661,9.492
148,19.661,9.492
149,19.661,9.492
150,19.661,9.492
151,19.661,9.492
152,19.661,9.492
153,19.661,9.492
154,20.0,9.492
155,20.339,9.492
156,20.678,9.492
157,21.017,9.492
158,21.017,9.492
159,21.017,9.492
160,21.017,9.492
161,21.017,9.492
162,21.017,9.492
163,21.017,9.492
164,21.017,9.492
165,21.017,9.492
166,21.017,9.492
167,21.017,9.492
168,21.017,9.492
169,21.017,9.492
170,21.017,9.492
171,21.017,9.492
172,21.017,9.492
173,21.017,9.492
174,21.017,9.492
175,21.017,9.492
176,21.017,9.492
177,21.017,9.492
178,21.017,9.492
179,21.017,9.492
180,21.017,9.492
181,21.017,9.492
182,21.017,9.492
183,21.017,9.492
184,21.017,9.492
185,21.017,9.492
186,21.017,9.492
187,21.017,9.492
188,21.017,9.492
189,21.017,9.492
190,21.017,9.492
191,21.017,9.492
192,21.017,9.492
193,21.017,9.492
194,21.017,9.492
195,21.017,9.492
196,21.017,9.492
197,21.017,9.492
198,21.017,9.492
199,21.017,9.492
